time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708502334.42573762,0.00395283,3056,0.00008230,0.00000000,0,0.00000000,674,687,21,0.00020968
1708502334.52476430,0.03976497,3081,0.00034556,0.00000000,0,0.00000000,687,693,26,0.00031476
1708502334.62582302,0.00741455,3172,0.00010348,0.00000000,0,0.00000000,693,691,15,0.00019839
1708502334.72583222,0.00348758,3073,0.00004954,0.00000000,0,0.00000000,691,700,13,0.00029651
1708502334.82470107,0.00421609,3156,0.00011254,0.00000000,0,0.00000000,700,710,19,0.00124364
1708502334.92582631,0.00772002,3081,0.00009964,0.00000000,0,0.00000000,710,718,16,0.00033012
1708502335.02568412,0.00342416,3123,0.00008829,0.00000000,0,0.00000000,718,736,27,0.00034596
1708502335.12488747,0.00617344,3145,0.00017074,0.00000000,0,0.00000000,736,710,10,0.00028847
1708502335.22575998,0.00497434,3063,0.00030618,0.00000000,0,0.00000000,710,734,30,0.00023241
1708502335.32572508,0.01515032,3147,0.00011198,0.00000000,0,0.00000000,734,746,21,0.00025764
1708502335.42477369,0.01404103,3032,0.00021545,0.00000000,0,0.00000000,746,759,18,0.00041704
1708502335.52583289,0.05117947,3133,0.00256631,0.00000000,0,0.00000000,759,595,14,0.00022200
1708502335.62566710,0.00409453,3106,0.00004372,0.00000000,0,0.00000000,595,609,14,0.00082209
1708502335.72574568,0.00772363,3041,0.00006000,0.00000000,0,0.00000000,609,622,14,0.00030845
1708502335.82457423,0.00461811,3142,0.00004995,0.00000000,0,0.00000000,622,632,13,0.00020967
1708502335.92576432,0.06277735,3019,0.00004054,0.00000000,0,0.00000000,632,645,13,0.00032818
1708502336.02479696,0.04983374,3067,0.00005731,0.00000000,0,0.00000000,645,658,13,0.00031544
1708502336.12464213,0.00806155,3088,0.00007749,0.00000000,0,0.00000000,658,656,11,0.00033702
1708502336.22570610,0.00699955,3050,0.00007062,0.00000000,0,0.00000000,656,666,13,0.00029879
1708502336.32470012,0.00390122,3081,0.00003505,0.00000000,0,0.00000000,666,672,9,0.00030705
1708502336.42579246,0.01087851,3088,0.00004419,0.00000000,0,0.00000000,672,679,8,0.00039859
1708502336.52571583,0.00578438,3035,0.00003838,0.00000000,0,0.00000000,679,686,9,0.00039860
1708502336.62585902,0.00576911,3064,0.00006387,0.00000000,0,0.00000000,686,687,12,0.00025404
1708502336.72584176,0.00668662,3055,0.00006792,0.00000000,0,0.00000000,687,692,10,0.00062094
1708502336.82573128,0.00404709,2991,0.00007562,0.00000000,0,0.00000000,692,704,16,0.00027763
1708502336.92477942,0.00423896,3079,0.00004173,0.00000000,0,0.00000000,704,713,9,0.00034086
1708502337.02575970,0.00484557,2987,0.00003638,0.00000000,0,0.00000000,713,712,5,0.00038003
1708502337.12572622,0.00373276,3057,0.00007695,0.00000000,0,0.00000000,712,720,16,0.00026959
1708502337.22470236,0.00497256,2962,0.00009994,0.00000000,0,0.00000000,720,731,25,0.00042683
1708502337.32478786,0.01156426,3088,0.00012636,0.00000000,0,0.00000000,731,743,38,0.00031293
1708502337.42571950,0.02742155,3035,0.00031095,0.00000000,0,0.00000000,743,755,40,0.00028731
1708502337.52476501,0.00396100,3096,0.00017317,0.00000000,0,0.00000000,755,752,33,0.00058046
1708502337.62578678,0.00768946,3115,0.00033569,0.00000000,0,0.00000000,752,775,36,0.00041412
1708502337.72573686,0.03642028,2991,0.00093871,0.00000000,0,0.00000000,775,800,46,0.00031229
1708502337.82479548,0.01856880,3157,0.00019726,0.00000000,0,0.00000000,800,782,29,0.00060083
1708502337.92590117,0.01607818,3096,0.00016081,0.00000000,0,0.00000000,782,786,21,0.00023192
1708502338.02571726,0.00360471,3082,0.00009367,0.00000000,0,0.00000000,786,804,28,0.00046448
1708502338.12472248,0.01347148,3136,0.00015510,0.00000000,0,0.00000000,804,783,17,0.00045613
1708502338.22576404,0.03435115,3031,0.00009972,0.00000000,0,0.00000000,783,794,23,0.00034336
1708502338.32575154,0.00319752,3075,0.00005945,0.00000000,0,0.00000000,794,805,16,0.00030670
1708502338.42471910,0.00390425,3080,0.00004630,0.00000000,0,0.00000000,805,813,11,0.00065220
1708502338.52582955,0.04278657,3128,0.00010076,0.00000000,0,0.00000000,813,820,15,0.00030120
1708502338.62570405,0.00839385,3097,0.00011412,0.00000000,0,0.00000000,820,829,13,0.00022598
1708502338.72476816,0.00284352,3069,0.00002972,0.00000000,0,0.00000000,829,838,10,0.00024790
1708502338.82582641,0.00661303,3114,0.00012361,0.00000000,0,0.00000000,838,816,16,0.00035170
1708502338.92577004,0.00330714,3093,0.00012764,0.00000000,0,0.00000000,816,801,16,0.00038158
1708502339.02483201,0.02165715,3138,0.00005853,0.00000000,0,0.00000000,801,804,9,0.00029694
1708502339.12581754,0.00453432,3103,0.00006032,0.00000000,0,0.00000000,804,808,9,0.00027624
1708502339.22572112,0.00573239,3081,0.00013746,0.00000000,0,0.00000000,808,793,11,0.00034655
1708502339.32478571,0.00434732,3113,0.00015171,0.00000000,0,0.00000000,793,803,17,0.00032333
1708502339.42579746,0.02556824,3166,0.00011548,0.00000000,0,0.00000000,803,807,14,0.00019026
1708502339.52577782,0.00296433,3090,0.00005076,0.00000000,0,0.00000000,807,791,11,0.00025020
1708502339.62478662,0.00474305,3166,0.00004333,0.00000000,0,0.00000000,791,795,8,0.00046844
1708502339.72578835,0.09139228,3138,0.00008386,0.00000000,0,0.00000000,795,797,9,0.00024826
1708502339.82571316,0.00577447,3116,0.00002463,0.00000000,0,0.00000000,797,802,5,0.00018660
1708502339.92472172,0.00453347,3182,0.00003887,0.00000000,0,0.00000000,802,811,11,0.00040906
1708502340.02579045,0.01216568,3086,0.00005052,0.00000000,0,0.00000000,811,813,5,0.00033043
1708502340.12486506,0.00427398,3072,0.00001835,0.00000000,0,0.00000000,813,817,4,0.00031301
1708502340.22471189,0.00498029,3096,0.00003530,0.00000000,0,0.00000000,817,814,4,0.00026844
1708502340.32581162,0.02526816,3085,0.00005656,0.00000000,0,0.00000000,814,807,9,0.00047948
1708502340.42572665,0.00449779,3134,0.00003214,0.00000000,0,0.00000000,807,809,7,0.00030247
1708502340.52485681,0.00462948,3092,0.00003171,0.00000000,0,0.00000000,809,816,7,0.00033989
1708502340.62578797,0.05775235,3125,0.00003334,0.00000000,0,0.00000000,816,819,5,0.00019059
1708502340.72576618,0.01051471,3120,0.00003277,0.00000000,0,0.00000000,819,822,8,0.00026401
1708502340.82571340,0.01469616,3097,0.00008330,0.00000000,0,0.00000000,822,833,15,0.00035693
1708502340.92472339,0.00840945,3159,0.00012998,0.00000000,0,0.00000000,833,830,9,0.00040747
1708502341.02572656,0.00531544,3123,0.00002768,0.00000000,0,0.00000000,830,833,5,0.00020319
1708502341.12478423,0.00990811,3156,0.00022801,0.00000000,0,0.00000000,833,804,11,0.00026968
1708502341.22581458,0.00566554,3148,0.00005556,0.00000000,0,0.00000000,804,803,5,0.00022623
1708502341.32574654,0.00380758,3154,0.00005146,0.00000000,0,0.00000000,803,799,5,0.00053026
1708502341.42584038,0.02089545,3223,0.00004588,0.00000000,0,0.00000000,799,792,4,0.00036411
1708502341.52586794,0.03150428,3122,0.00002213,0.00000000,0,0.00000000,792,794,3,0.00038700
1708502341.62572336,0.00568794,3191,0.00003382,0.00000000,0,0.00000000,794,794,3,0.00054373
1708502341.72478366,0.05406252,3171,0.00003192,0.00000000,0,0.00000000,794,794,4,0.00028229
1708502341.82578611,0.01397945,3116,0.00006700,0.00000000,0,0.00000000,794,781,5,0.00030086
1708502341.92573023,0.01524984,3143,0.00008422,0.00000000,0,0.00000000,781,770,4,0.00025997
